"route_name","state_num","route","st_abrev","country","population_100km","population_200km","population_300km","pop_5th_percentile_100km","pop_5th_percentile_200km","pop_5th_percentile_300km","bcr","latitude","longitude","n_surveys_total","n_surveys_since_2018","Surveyed_by_in_1966","Surveyed_by_in_1967","Surveyed_by_in_1968","Surveyed_by_in_1969","Surveyed_by_in_1970","Surveyed_by_in_1971","Surveyed_by_in_1972","Surveyed_by_in_1973","Surveyed_by_in_1974","Surveyed_by_in_1975","Surveyed_by_in_1976","Surveyed_by_in_1977","Surveyed_by_in_1978","Surveyed_by_in_1979","Surveyed_by_in_1980","Surveyed_by_in_1981","Surveyed_by_in_1982","Surveyed_by_in_1983","Surveyed_by_in_1984","Surveyed_by_in_1985","Surveyed_by_in_1986","Surveyed_by_in_1987","Surveyed_by_in_1988","Surveyed_by_in_1989","Surveyed_by_in_1990","Surveyed_by_in_1991","Surveyed_by_in_1992","Surveyed_by_in_1993","Surveyed_by_in_1994","Surveyed_by_in_1995","Surveyed_by_in_1996","Surveyed_by_in_1997","Surveyed_by_in_1998","Surveyed_by_in_1999","Surveyed_by_in_2000","Surveyed_by_in_2001","Surveyed_by_in_2002","Surveyed_by_in_2003","Surveyed_by_in_2004","Surveyed_by_in_2005","Surveyed_by_in_2006","Surveyed_by_in_2007","Surveyed_by_in_2008","Surveyed_by_in_2009","Surveyed_by_in_2010","Surveyed_by_in_2011","Surveyed_by_in_2012","Surveyed_by_in_2013","Surveyed_by_in_2014","Surveyed_by_in_2015","Surveyed_by_in_2016","Surveyed_by_in_2017","Surveyed_by_in_2018","Surveyed_by_in_2019","Surveyed_by_in_2021","Surveyed_by_in_2022","Surveyed_by_in_2023"
"MALIGNE LAKE",4,25,"AB","CA",15673,96063,2629467,FALSE,FALSE,FALSE,10,52.731410000000004,-117.63709,28,1,NA,NA,NA,NA,NA,NA,NA,NA,1140110,1140110,1140110,1140110,1140110,1140110,1140110,1140110,NA,1140110,1140110,NA,NA,NA,NA,980487,NA,980547,NA,NA,NA,NA,NA,1000332,1000332,1000332,1000332,1000332,1000332,1000332,1000332,1000332,NA,1140599,NA,NA,NA,NA,1091232,1091232,1091232,1091232,1091232,NA,1091232,NA,NA,NA,NA
"LITTLE SMOKY",4,43,"AB","CA",16415,217939,1767337,FALSE,FALSE,FALSE,6,54.766090000000005,-117.24782000000002,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030412,1030412,1030412,NA,NA,NA,NA,NA,1151404,1151404,NA,1151404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIG STONE",4,12,"AB","CA",16421,388224,3678593,FALSE,FALSE,FALSE,11,51.32875000000001,-111.07822999999999,16,NA,NA,NA,NA,NA,NA,NA,NA,1030102,NA,1150260,1150260,1150260,1150260,1150260,1010084,1150260,1150260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070315,1070315,NA,NA,1070315,1070315,1070315,1070315,1070315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEMARUKA",4,112,"AB","CA",16879,776943,3944778,FALSE,FALSE,FALSE,11,51.57551000000001,-111.20079,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970163,NA,970163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151192,1151192,1151192,1151192,1151192,1151192,1151192,NA,NA,NA,NA,1151192,1151192,1151192,NA,1151192,NA
"ACADIA VALLY",4,211,"AB","CA",18342,220408,2787116,FALSE,FALSE,FALSE,11,51.35787999999999,-110.19277999999998,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980643,NA,980643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120375,NA,1110018,NA,1110018,1110018,NA,1110018,1110018,1110018,1110018,1110018,1110018,NA,NA,NA
"WANDERING R",4,48,"AB","CA",19142,271170,1868064,FALSE,FALSE,FALSE,6,55.387049999999995,-112.45371,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESTHER",4,111,"AB","CA",19149,233941,2990915,FALSE,FALSE,FALSE,11,51.445330000000006,-110.38028,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110018,1110018,1110018,1110018,1110018,NA,1110018,1110018,NA,1110018,1110018,1110018,1110018,1110018,1110018,NA,NA,NA
"Cutbank Creek",4,712,"AB","CA",19433,275404,424990,FALSE,FALSE,FALSE,11,49.10149,-110.56255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onefour",4,512,"AB","CA",19433,275404,424990,FALSE,FALSE,FALSE,11,49.10149,-110.56255,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000198,NA,1000198,1000198,NA,NA,1140726,1140726,1140726,NA,1140726,NA
"Wildhorse",4,612,"AB","CA",19433,275404,424990,FALSE,FALSE,FALSE,11,49.10149,-110.56255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KINUSO",4,51,"AB","CA",21185,178765,1891496,FALSE,FALSE,FALSE,6,55.25797,-115.38533999999999,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150260,NA,NA,1060098,NA,NA,NA,1060098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARLECH",4,23,"AB","CA",22093,1549052,3636440,FALSE,FALSE,FALSE,6,52.49814000000001,-116.00016000000001,3,NA,NA,NA,NA,NA,NA,NA,NA,980193,NA,980193,NA,980193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALLING LAKE",4,49,"AB","CA",23019,246800,1830394,FALSE,FALSE,FALSE,6,55.486,-113.44000000000001,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090523,1090523,1090523,1090523,1090523,NA,1090523,1090523,1090523,NA,1090523,1090523,1090523,1090523,1090523,1090523,1090523,1090523,1090523,1090523,1090523,1090523,NA,NA,NA,NA,NA,1080691,1080691,NA,NA
"MARTEN RIVER",4,50,"AB","CA",23463,128643,1869913,FALSE,FALSE,FALSE,6,55.499030000000005,-114.91416000000002,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150260,NA,NA,1120033,NA,NA,NA,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,NA,1060098,1060098,NA,NA,1060098,1060098,NA,1060098,1060098,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098
"CRIPPLE CRK",4,123,"AB","CA",23487,1929506,3701036,FALSE,FALSE,FALSE,6,52.20935000000001,-115.96781000000001,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150574,1150574,1150574,1150574,1150574,1150574,NA,1150574,1150574,1150574,NA,NA,1150574,1150574,1150574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990974,990974
"PRAIRIE ECHO",4,252,"AB","CA",23576,199180,1750776,FALSE,FALSE,FALSE,6,55.43233000000001,-116.41170000000001,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070444,1070444,1070444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAVE FLATS",4,124,"AB","CA",26979,148260,3541423,FALSE,FALSE,FALSE,10,52.8674039,-116.99362700000002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090633,NA,1090633
"MOUNTAIN PRK",4,225,"AB","CA",26979,110869,2502302,FALSE,FALSE,FALSE,10,52.984629999999996,-117.34166000000002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090633,1090633,NA,1090633,NA,1090633,NA,NA,NA,1090633,NA,NA,NA,NA,1090633,NA,NA,1090633,NA,NA,NA,NA,NA,NA,NA,NA
"ENTRANCE",4,33,"AB","CA",27600,88153,1994085,FALSE,FALSE,FALSE,6,53.3741,-117.71063000000001,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980487,NA,NA,1040191,1040191,NA,1160228,1160228,1160228,1160228,1160228,1160228,1160228,NA,NA,NA,NA,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,1091010,NA,1091010,NA,1091010,1091010,1091010,1091010
"CEREAL",4,11,"AB","CA",28762,267353,2472042,FALSE,FALSE,FALSE,11,51.00887,-110.79560000000001,21,2,NA,NA,NA,NA,NA,NA,1030102,1030102,1150260,1150260,1150260,1150260,1150260,1150260,1010084,1150260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970163,970163,970163,970163,NA,970163,NA,1120384,1120384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981420,981420,981420,981420,NA,NA,NA
"SPONDIN",4,212,"AB","CA",30425,1760530,3970376,FALSE,FALSE,FALSE,11,51.76553000000001,-111.51697,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,1151048,NA,1000198,1000198,1000198,1000198,NA,1000198,1000198,NA,1000198,1000198
"GROUARD",4,352,"AB","CA",31128,201892,1768371,FALSE,FALSE,FALSE,6,55.432770000000005,-116.30623,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070444,NA,1070444,NA,NA,NA,NA,NA
"THREE CREEKS",4,62,"AB","CA",31154,167784,290836,FALSE,FALSE,FALSE,6,56.3628,-117.00335,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,NA,1090504,1090504,1090504,1090504,1090504,1090504,1151316,1151316,1151316,NA,NA,NA,NA,NA,NA,1030703,1030703,NA,1030703,NA,NA,NA
"SKUKUM LAKE",4,438,"AB","CA",32327,1535965,1938921,FALSE,FALSE,FALSE,6,54.91816,-112.01798000000001,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030465,1030465,1030465,NA,1030465,1030465,1030465,1030465,NA,1030465,NA,NA,NA,NA,NA,NA,1091368,1091368,NA
"FOX CREEK",4,143,"AB","CA",32814,237598,1852836,FALSE,FALSE,FALSE,6,54.363350000000004,-117.03659,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030412,1030412,NA,NA,NA,1151314,1151314,1151314,NA,1151314,1151314,1151314,1151314,1151314,1151314,1151314,1151314,NA,NA,NA,NA
"SWAN RIVER",4,251,"AB","CA",33325,1056123,1901044,FALSE,FALSE,FALSE,6,54.999,-115.25994,29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098,NA,NA,1060098,NA,1060098,1060098,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,1060098,NA,1060098,1060098,1060098,1060098,1060098,1060098,1060098
"Blood Indian Resevoi",4,412,"AB","CA",34429,892239,3618180,FALSE,FALSE,FALSE,11,51.270590000000006,-111.19086,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070315,1070315,1070315,1070315,1070315,NA,1070315,1070315,1070315,NA,NA,NA,NA,NA
"CARDINAL LK",4,63,"AB","CA",34790,205556,271815,FALSE,FALSE,FALSE,6,56.27611000000001,-117.82119,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070242,1070242,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,1090504,NA,981472,981472,1080737,1080737
"WINAGAMI LK",4,152,"AB","CA",37341,186190,1083801,FALSE,FALSE,FALSE,6,55.599540000000005,-116.61371,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120033,NA,NA,NA,1060098,1060098,NA,1060098,NA,NA,NA,1020221,1020221,NA,NA,NA,NA,NA,980749,980749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOW PASS",4,17,"AB","CA",37377,1868769,3824875,FALSE,FALSE,FALSE,10,51.460210000000004,-116.22023,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000193,NA,NA,NA,1040191,1040191,1040191,1040191,1040191,NA,1040191,NA,1040191,1040191,1040191,1040191,NA,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,1090575,NA,1040191,1040191,1040191,NA,1040191,NA,NA,990974,990974
"TALBOT",4,19,"AB","CA",37433,512799,4026267,FALSE,FALSE,FALSE,11,52.20111000000001,-111.07637999999999,28,1,NA,NA,NA,NA,NA,NA,1030102,1030102,NA,1090117,NA,NA,NA,NA,NA,1090117,1090117,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090505,1090505,NA,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,1090505,NA,1030703,NA,NA,NA,NA,1030703,NA,NA
"HIGH PRAIRIE",4,52,"AB","CA",37834,185914,831863,FALSE,FALSE,FALSE,6,55.5528,-116.78184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIMIWAN LAKE",4,353,"AB","CA",38342,181643,330564,FALSE,FALSE,FALSE,6,56.014345999999996,-117.18532499999999,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030703,NA,1030703,NA,NA,NA
"FREEMAN LAKE",4,141,"AB","CA",39751,1104131,1963662,FALSE,FALSE,FALSE,6,54.74231000000001,-115.78253,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980503,980503,NA,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,980503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINDFALL",4,42,"AB","CA",40530,1526626,2065285,FALSE,FALSE,FALSE,6,54.13311000000001,-116.21592000000001,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120033,1120033,1120033,1120033,1120033,1120033,1120033,NA,NA,NA,NA,NA,1151240,1151314,NA,1151314,1151314,NA,1151314,1151314,1151314,1151314,1151314,1151314,NA,NA,NA,NA
"NORAL",4,338,"AB","CA",42527,1642860,2114760,FALSE,FALSE,FALSE,6,54.67334,-112.37492999999999,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040797,1040797,NA,1040797,1040797,1040797,1040797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WARDLOW",4,107,"AB","CA",42573,727158,2489821,FALSE,FALSE,FALSE,11,50.92139,-111.11274999999999,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000198,1000198,NA,1000198,1000198,1000198,1000198,1000198,1000198,1000198,NA,1000198,1000198,NA,1000198,1000198,1000198,1000198,NA,1000198,1000198,1000198,1000198,NA,1000198,1000198
"ATHABASCA",4,39,"AB","CA",43711,1617232,2109156,FALSE,FALSE,FALSE,6,54.83513000000001,-113.15816,24,NA,NA,NA,NA,NA,NA,NA,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,NA,1070082,1070082,1070082,1070082,1070082,1070082,1070082,1070082,NA,1070082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWAN HILLS",4,41,"AB","CA",44120,1493507,2025918,FALSE,FALSE,FALSE,6,54.756402,-115.530799,1,NA,NA,NA,NA,NA,NA,NA,NA,1190323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
